RIC,Underlying RIC,Open Interest,Volume,Open,High,Low,Last,Universal Close Price,Trade Date,Expiration Date
BTCQ0^2,.BRR,,,,,,,,2020-02-27,2020-08-28
BTCQ0^2,.BRR,,,,,,,"9,150",2020-02-28,2020-08-28
BTCQ0^2,.BRR,,,,,,,"9,445",2020-03-02,2020-08-28
BTCQ0^2,.BRR,,,,,,,"9,290",2020-03-03,2020-08-28
BTCQ0^2,.BRR,,,,,,,"9,260",2020-03-04,2020-08-28
BTCQ0^2,.BRR,,,,,,,"9,690",2020-03-05,2020-08-28
BTCQ0^2,.BRR,,,,,,,"9,615",2020-03-06,2020-08-28
BTCQ0^2,.BRR,,,,,,,"8,135",2020-03-09,2020-08-28
BTCQ0^2,.BRR,,,,,,,"8,280",2020-03-10,2020-08-28
BTCQ0^2,.BRR,,,,,,,"8,140",2020-03-11,2020-08-28
BTCQ0^2,.BRR,,,,,,,"6,230",2020-03-12,2020-08-28
BTCQ0^2,.BRR,,,,,,,"5,500",2020-03-13,2020-08-28
BTCQ0^2,.BRR,,,,,,,"5,060",2020-03-16,2020-08-28
BTCQ0^2,.BRR,,,,,,,"5,555",2020-03-17,2020-08-28
BTCQ0^2,.BRR,,,,,,,"5,515",2020-03-18,2020-08-28
BTCQ0^2,.BRR,1,1,"6,450","6,450","6,450","6,450","6,405",2020-03-19,2020-08-28
BTCQ0^2,.BRR,1,0,,,,,"6,315",2020-03-20,2020-08-28
BTCQ0^2,.BRR,1,0,,,,,"6,400",2020-03-23,2020-08-28
BTCQ0^2,.BRR,1,0,,,,,"6,855",2020-03-24,2020-08-28
BTCQ0^2,.BRR,1,0,,,,,"6,760",2020-03-25,2020-08-28
BTCQ0^2,.BRR,1,0,,,,,"6,790",2020-03-26,2020-08-28
BTCQ0^2,.BRR,1,0,,,,,"6,780",2020-03-27,2020-08-28
BTCQ0^2,.BRR,1,0,,,,,"6,450",2020-03-30,2020-08-28
BTCQ0^2,.BRR,1,0,,,,,"6,550",2020-03-31,2020-08-28
BTCQ0^2,.BRR,2,1,"6,355","6,355","6,355","6,355","6,275",2020-04-01,2020-08-28
BTCQ0^2,.BRR,2,0,,,,,"6,975",2020-04-02,2020-08-28
BTCQ0^2,.BRR,2,0,,,,,"6,910",2020-04-03,2020-08-28
BTCQ0^2,.BRR,30,28,"7,250","7,395","7,250","7,395","7,430",2020-04-06,2020-08-28
BTCQ0^2,.BRR,30,0,,,,,"7,440",2020-04-07,2020-08-28
BTCQ0^2,.BRR,30,0,,,,,"7,445",2020-04-08,2020-08-28
BTCQ0^2,.BRR,30,0,,,,,"7,395",2020-04-09,2020-08-28
BTCQ0^2,.BRR,56,26,"7,000","7,000","6,675","6,675","6,820",2020-04-13,2020-08-28
BTCQ0^2,.BRR,56,0,,,,,"6,970",2020-04-14,2020-08-28
BTCQ0^2,.BRR,58,3,"6,770","6,775","6,770","6,775","6,760",2020-04-15,2020-08-28
BTCQ0^2,.BRR,58,0,,,,,"7,170",2020-04-16,2020-08-28
BTCQ0^2,.BRR,59,1,"7,150","7,150","7,150","7,150","7,145",2020-04-17,2020-08-28
BTCQ0^2,.BRR,61,5,"7,200","7,200","6,900","6,900","6,860",2020-04-20,2020-08-28
BTCQ0^2,.BRR,66,5,"6,910","6,910","6,845","6,845","6,945",2020-04-21,2020-08-28
BTCQ0^2,.BRR,68,2,"7,200","7,200","7,200","7,200","7,195",2020-04-22,2020-08-28
BTCQ0^2,.BRR,68,0,,,,,"7,670",2020-04-23,2020-08-28
BTCQ0^2,.BRR,71,4,"7,675","7,675","7,625","7,625","7,640",2020-04-24,2020-08-28
BTCQ0^2,.BRR,74,3,,,,,"7,805",2020-04-27,2020-08-28
BTCQ0^2,.BRR,76,16,"7,855","7,875","7,800","7,845","7,810",2020-04-28,2020-08-28
BTCQ0^2,.BRR,74,16,"7,850","8,920","7,850","8,920","8,885",2020-04-29,2020-08-28
BTCQ0^2,.BRR,74,12,"9,255","9,320","8,770","8,770","9,010",2020-04-30,2020-08-28
BTCQ0^2,.BRR,72,2,"8,955","8,955","8,955","8,955","8,880",2020-05-01,2020-08-28
BTCQ0^2,.BRR,68,11,"8,750","8,845","8,705","8,845","8,995",2020-05-04,2020-08-28
BTCQ0^2,.BRR,99,46,"9,235","9,235","8,960","9,010","9,050",2020-05-05,2020-08-28
BTCQ0^2,.BRR,103,4,"9,240","9,445","9,240","9,445","9,420",2020-05-06,2020-08-28
BTCQ0^2,.BRR,105,48,"9,300","10,160","9,300","10,000","10,100",2020-05-07,2020-08-28
BTCQ0^2,.BRR,105,2,"10,100","10,100","10,100","10,100","10,145",2020-05-08,2020-08-28
BTCQ0^2,.BRR,153,72,"8,895","9,015","8,395","8,800","8,880",2020-05-11,2020-08-28
BTCQ0^2,.BRR,160,64,"8,665","8,980","8,665","8,940","8,965",2020-05-12,2020-08-28
BTCQ0^2,.BRR,163,41,"9,120","9,465","9,080","9,465","9,345",2020-05-13,2020-08-28
BTCQ0^2,.BRR,161,90,"9,520","10,015","9,470","9,885","9,880",2020-05-14,2020-08-28
BTCQ0^2,.BRR,160,18,"9,880","9,880","9,750","9,750","9,535",2020-05-15,2020-08-28
BTCQ0^2,.BRR,164,32,"9,870","9,900","9,805","9,890","9,905",2020-05-18,2020-08-28
BTCQ0^2,.BRR,201,157,"9,925","10,080","9,805","9,885","9,840",2020-05-19,2020-08-28
BTCQ0^2,.BRR,219,47,"9,910","10,000","9,565","9,645","9,700",2020-05-20,2020-08-28
BTCQ0^2,.BRR,235,42,"9,710","9,730","9,070","9,235","9,205",2020-05-21,2020-08-28
BTCQ0^2,.BRR,241,20,"9,230","9,415","9,120","9,375","9,315",2020-05-22,2020-08-28
BTCQ0^2,.BRR,305,84,"9,175","9,175","8,855","8,980","8,935",2020-05-26,2020-08-28
